"","gene_id","gene_name","baseline_before","rank_baseline_before","baseline_after","rank_baseline_after"
"1","ENSMUSG00000031762","Mt2",16.9647421771706,16107,15.8439841339797,16087
"2","ENSMUSG00000005413","Hmox1",5.25905068382944,15802,3.44408688656476,15486
"3","ENSMUSG00000001131","Timp1",4.75916955017301,15756,3.87404844290657,15597
"4","ENSMUSG00000001025","S100a6",6.46279404704753,15889,6.1963514162266,15858
"5","ENSMUSG00000025351","Cd63",6.8919168591224,15912,6.50346420323326,15880
"6","ENSMUSG00000021091","Serpina3n",4.57416267942584,15732,4.21052631578947,15651
"7","ENSMUSG00000026822","Lcn2",5.27552986512524,15805,4.64675658317277,15712
"8","ENSMUSG00000071637","Cebpd",3.10349962769918,15435,2.74236783320923,15165
"9","ENSMUSG00000020932","Gfap",9.2925430210325,15992,8.79780114722753,15974
"10","ENSMUSG00000068220","Lgals1",3.37558139534884,15515,3.23255813953488,15412
"11","ENSMUSG00000026728","Vim",3.43783783783784,15533,2.86554054054054,15241
"12","ENSMUSG00000023905","Tnfrsf12a",2.05187637969095,5288,1.63576158940397,322
"13","ENSMUSG00000022218","Tgm1",2.28980099502488,14926,1.85945273631841,1764
"14","ENSMUSG00000027907","S100a11",2.50595238095238,15108,2.27210884353741,10475
"15","ENSMUSG00000035385","Ccl2",2.6794380587484,15223,2.10983397190294,5498
"16","ENSMUSG00000046711","Hmga1",1.72605561277034,860,1.68280123583934,132
"17","ENSMUSG00000027800","Tm4sf1",2.78867102396514,15295,2.28213507625272,10902
"18","ENSMUSG00000032231","Anxa2",1.94925028835063,3265,1.66089965397924,105
"19","ENSMUSG00000001473","Tubb6",1.46397188049209,1341,1.36731107205624,3103
"20","ENSMUSG00000027832","Ptx3",3.02291666666667,15397,1.67291666666667,30
"21","ENSMUSG00000028480","Glipr2",1.55932203389831,550,1.53312788906009,1235
"22","ENSMUSG00000005087","Cd44",1.4954128440367,1079,1.31422018348624,3918
"23","ENSMUSG00000035373","Ccl7",2.05844155844156,5451,1.83982683982684,1572
"24","ENSMUSG00000050063","Klk6",2.26117318435754,14896,1.65642458100559,140
"25","ENSMUSG00000067586","S1pr3",1.63344594594595,80,1.55236486486486,1067
"26","ENSMUSG00000064246","Chil1",2.66962305986696,15214,2.49556541019956,14976
"27","ENSMUSG00000004891","Nes",1.48210526315789,1190,1.34105263157895,3501
"28","ENSMUSG00000068699","Flnc",1.398891966759,1982,1.23545706371191,5407
"29","ENSMUSG00000032085","Tagln",2.84014209591474,15320,2.44404973357016,14929
"30","ENSMUSG00000053113","Socs3",1.34521158129176,2604,1.3630289532294,3162
"31","ENSMUSG00000064220","Hist2h2aa1",1.39752407152682,2001,1.39752407152682,2685
"32","ENSMUSG00000029304","Spp1",2.4208,15035,2.1168,5636
"33","ENSMUSG00000050335","Lgals3",2.30172413793103,14940,1.46336206896552,1947
"34","ENSMUSG00000022893","Adamts1",1.33695652173913,2730,1.27826086956522,4540
"35","ENSMUSG00000040212","Emp3",1.37896825396825,2196,1.45238095238095,2059
"36","ENSMUSG00000028195","Ccn1",1.44014084507042,1564,1.34154929577465,3494
"37","ENSMUSG00000030681","Mvp",1.26626016260163,3791,1.28658536585366,4378
"38","ENSMUSG00000046768","Rhoj",1.21082621082621,4928,1.21652421652422,5786
"39","ENSMUSG00000002289","Angptl4",1.30641330166271,3138,1.39667458432304,2701
"40","ENSMUSG00000035493","Tgfbi",1.52777777777778,807,1.47777777777778,1797
"41","ENSMUSG00000029641","Rasl11a",1.40409207161125,1920,1.30690537084399,4026
"42","ENSMUSG00000034855","Cxcl10",2.86750788643533,15331,1.9211356466877,2439
"43","ENSMUSG00000040663","Clcf1",1.22748815165877,4554,1.17535545023697,6863
"44","ENSMUSG00000024912","Fosl1",1.30232558139535,3201,1.1953488372093,6312
"45","ENSMUSG00000053175","Bcl3",1.21656050955414,4789,1.23885350318471,5336
"46","ENSMUSG00000022146","Osmr",1.15946843853821,6322,1.19269102990033,6387
"47","ENSMUSG00000048572","Tmem252",1.39802631578947,1999,1.44078947368421,2195
"48","ENSMUSG00000028364","Tnc",1.3768115942029,2223,1.3768115942029,2958
"49","ENSMUSG00000026628","Atf3",1.47767857142857,1222,1.27232142857143,4642
"50","ENSMUSG00000041974","Spidr",1.3,3236,1.26,4881
"51","ENSMUSG00000018927","Ccl6",1.68343195266272,506,1.70118343195266,292
"52","ENSMUSG00000021281","Tnfaip2",1.22543352601156,4600,1.1849710982659,6597
"53","ENSMUSG00000040298","Btbd16",1.21078431372549,4931,1.12745098039216,8278
"54","ENSMUSG00000033213","AA467197",1.23888888888889,4331,1.21111111111111,5894
"55","ENSMUSG00000029762","Akr1b8",1.14070351758794,6977,1.14070351758794,7884
"56","ENSMUSG00000019122","Ccl9",1.28395061728395,3497,1.37448559670782,2995
"57","ENSMUSG00000061878","Sphk1",1.12790697674419,7424,1.13953488372093,7912
"58","ENSMUSG00000047884","Klk9",1.29824561403509,3275,1.29824561403509,4182
"59","ENSMUSG00000040026","Saa3",1.88292682926829,2380,1.87317073170732,1911
"60","ENSMUSG00000030208","Emp1",1.2279792746114,4546,1.18652849740933,6559
"61","ENSMUSG00000019987","Arg1",1.75438596491228,1094,1.75438596491228,764
"62","ENSMUSG00000056071","S100a9",1.83408071748879,1820,1.94170403587444,2671
